223	0.7435
326	1.043
326	0.8635
798	12.59
876	0.4421
1239	1.524
1846	0.5194
1916	0.4186
1916	1.675
2028	0.5777
2292	0.3498
2305	1.122
2306	0.5247
2738	3.204
2769	0.4024
2770	0.8242
2782	0.832
2783	2.822
2796	1.175
2797	0.3812
2797	0.3812
2797	0.844
2798	4.784
2904	1.579
2904	3.981
2915	0.9954
2915	1.327
2922	0.4696
2925	0.6312
2925	2.315
3147	1.725
3147	0.3834
3149	0.3455
3149	0.6526
3168	0.4211
3170	5.492
3222	0.3979
3223	0.5837
3230	1.801
3230	0.9413
3279	0.4267
3282	14.31
3283	3.983
3340	0.6328
3356	8.477
3398	0.758
3491	0.162
3519	0.5374
3540	0.6523
4112	0.3105
4235	1.654
4256	1.068
4309	0.7971
4356	3.032
4974	0.5371
4975	0.7422
5066	0.7754
5632	0.6107
5680	0.4758
6197	0.5492
6363	3.639
6363	0.5245
6364	0.3823
6373	0.1372
6376	1.103
6386	0.08235
6937	0.09422
7280	0.7678
7913	0.4217
7965	0.1325
7968	0.1323
8094	0.1525
8184	0.1677
8234	0.62
8858	0.274
8861	0.4287
9039	0.2001
9591	0.6762
10438	0.3232
10446	0.1833
10549	0.2672
