326	0.71
326	0.7042
722	0.1814
783	1.215
798	2.405
878	0.4997
1239	0.3844
1916	0.6123
2292	0.3936
2293	0.4742
2305	1.009
2306	1.028
2390	1.173
2738	0.9495
2769	0.45
2770	0.6365
2781	0.3277
2783	1.283
2785	0.4454
2796	0.8609
2797	0.72
2798	1.295
2889	2.779
2904	2.745
2904	0.9737
2915	0.5483
2915	0.564
2925	0.7959
2925	0.4627
2927	0.4771
3013	0.5804
3147	0.5085
3147	0.2825
3147	0.8757
3149	0.6079
3149	0.509
3168	0.8705
3168	0.4875
3170	1.626
3223	0.2515
3230	0.5395
3230	1.189
3230	0.3311
3258	0.1381
3282	3.723
3283	1.669
3283	0.2385
3398	0.295
3399	2.165
3405	0.3851
3519	0.6511
3540	0.6194
4283	0.3587
4356	1.087
4356	0.3344
4651	0.2271
5040	0.6235
5680	0.2677
6363	0.4703
6363	0.81
6364	0.4634
6373	0.1829
6376	0.5288
6386	0.1129
8803	0.08742
8858	0.4796
8861	0.4706
9591	0.4845
9721	0.1238
10446	0.1598
10549	0.4622
